Date,County,WaterTemp,AirTemp,RainFall24h,RainFall3d,RainLastWeek,DayofYear,MaxTemp1d,MaxTemp4d,MaxTemp7d,SeasonalPopulation
2020-03-10,Pasco,72.19166666666666,81.26,0.0006,0.002,0.0077,72,77.01,70.52,81.83,584626.0
2020-03-11,Pasco,72.51249999999999,82.03,0.0003,0.0015,0.0071,73,81.26,68.5,86.6,584626.0
2020-03-12,Pasco,73.82083333333333,85.17,0.0002,0.0010999999999999998,0.0068000000000000005,74,82.03,73.77,85.86,584626.0
2020-03-13,Pasco,74.34583333333333,86.43,0.0001,0.0006000000000000001,0.004699999999999999,75,85.17,77.01,70.52,584626.0
2020-03-14,Pasco,75.87916666666666,90.11,0.0001,0.0004,0.0027,76,86.43,81.26,68.5,584626.0
2020-03-15,Pasco,74.77916666666667,87.47,0.0001,0.00030000000000000003,0.002,77,90.11,82.03,73.77,584626.0
2020-03-16,Pasco,75.87916666666666,90.11,0.0001,0.00030000000000000003,0.0015,78,87.47,85.17,77.01,584626.0
2020-03-09,Pinellas,70.6,77.44,0.0,0.0,0.0,71,74.59,81.46,76.61,911589.0
2020-03-10,Pinellas,70.89166666666667,78.14,0.0003,0.0003,0.0003,72,77.44,68.01,78.66,911589.0
2020-03-11,Pinellas,70.70416666666667,77.69,0.0002,0.0005,0.0005,73,78.14,68.8,80.55,911589.0
2020-03-12,Pinellas,71.57499999999999,79.78,0.0001,0.0006000000000000001,0.0006000000000000001,74,77.69,74.59,81.46,911589.0
2020-03-13,Pinellas,71.55,79.72,0.0001,0.0004,0.0007,75,79.78,77.44,68.01,911589.0
2020-03-14,Pinellas,72.77083333333334,82.65,0.0001,0.00030000000000000003,0.0007999999999999999,76,79.72,78.14,68.8,911589.0
2020-03-15,Pinellas,72.0625,80.95,0.0001,0.00030000000000000003,0.0009,77,82.65,77.69,74.59,911589.0
2020-03-16,Pinellas,72.39583333333333,81.75,0.0001,0.00030000000000000003,0.001,78,80.95,79.78,77.44,911589.0
2020-03-09,Santa Rosa,68.025,71.26,0.0007,0.0026,0.0624,71,67.91,64.61,72.2,185001.0
2020-03-10,Santa Rosa,68.09166666666667,71.42,0.0008,0.0024,0.0618,72,71.26,68.55,76.03,185001.0
2020-03-11,Santa Rosa,69.98333333333332,75.96,0.0007,0.0022,0.0606,73,71.42,65.83,73.33,185001.0
2020-03-12,Santa Rosa,71.35416666666666,79.25,0.0013,0.0028,0.0191,74,75.96,67.91,64.61,185001.0
2020-03-13,Santa Rosa,71.04583333333333,78.51,0.0003,0.0023,0.0057,75,79.25,71.26,68.55,185001.0
2020-03-14,Santa Rosa,71.48333333333333,79.56,0.0021,0.0037,0.0068,76,78.51,71.42,65.83,185001.0
2020-03-15,Santa Rosa,72.51249999999999,82.03,0.0002,0.0026,0.0061,77,79.56,75.96,67.91,185001.0
2020-03-16,Santa Rosa,72.35,81.64,0.0001,0.0024,0.0055000000000000005,78,82.03,79.25,71.26,185001.0
